match_id,ally_champs,enemy_champs,win
NA1_5173675389,"['Gragas', 'Hecarim', 'Akali', 'Corki', 'Maokai']","['Jayce', 'Sylas', 'Orianna', 'Yasuo', 'Rakan']",1.0
NA1_5173620173,"['Kled', 'LeeSin', 'Yone', 'Swain', 'Soraka']","['Gnar', 'Udyr', 'Sylas', 'Corki', 'Rakan']",0.0
NA1_5173578455,"['Aatrox', 'Viego', 'Swain', 'Ezreal', 'Braum']","['KSante', 'Hecarim', 'Galio', 'Corki', 'Nautilus']",1.0
NA1_5173317138,"['Fiora', 'Volibear', 'Sylas', 'Jhin', 'Nami']","['Yone', 'LeeSin', 'Kayn', 'Jinx', 'Neeko']",0.0
NA1_5172753003,"['Ambessa', 'Nidalee', 'Fizz', 'Jhin', 'Milio']","['Irelia', 'Warwick', 'Smolder', 'Caitlyn', 'Karma']",1.0
NA1_5172697875,"['Irelia', 'Teemo', 'Fizz', 'Ezreal', 'Senna']","['Ambessa', 'Vi', 'Hwei', 'Jhin', 'Nami']",1.0
NA1_5171977800,"['Annie', 'Ryze', 'Jinx', 'Zed', 'Malzahar']","['Thresh', 'Bard', 'Morgana', 'Ashe', 'Jhin']",1.0
NA1_5171960407,"['Seraphine', 'Ambessa', 'Ahri', 'Ornn', 'Caitlyn']","['Nami', 'Ekko', 'Galio', 'Hecarim', 'Viego']",1.0
NA1_5171948503,"['Teemo', 'Jayce', 'Zeri', 'TahmKench', 'Azir']","['Amumu', 'Veigar', 'Lulu', 'Naafiri', 'Lux']",1.0
NA1_5171821100,"['Jayce', 'Udyr', 'Aurora', 'Kalista', 'Alistar']","['Olaf', 'Kayn', 'Pyke', 'Corki', 'Neeko']",0.0
NA1_5171777272,"['Ambessa', 'Graves', 'Naafiri', 'Syndra', 'Rumble']","['KSante', 'JarvanIV', 'Tryndamere', 'Ezreal', 'Zoe']",0.0
NA1_5171746639,"['Renekton', 'Shaco', 'Galio', 'Ahri', 'Thresh']","['Teemo', 'XinZhao', 'Aurora', 'Kaisa', 'Nautilus']",1.0
NA1_5171696442,"['Gwen', 'Viego', 'Syndra', 'Corki', 'Renata']","['Gnar', 'Vi', 'Zac', 'Smolder', 'Nami']",1.0
NA1_5166597741,"['Riven', 'Nidalee', 'Corki', 'Yone', 'Gragas']","['Kled', 'Ivern', 'Jayce', 'Smolder', 'Rakan']",0.0
NA1_5166560220,"['KSante', 'Morgana', 'Yasuo', 'Smolder', 'Bard']","['Camille', 'JarvanIV', 'Annie', 'Caitlyn', 'Senna']",0.0
NA1_5166509438,"['Aurora', 'Graves', 'Azir', 'Sivir', 'Senna']","['Kayle', 'Viego', 'Leblanc', 'Smolder', 'Rakan']",1.0
NA1_5166467787,"['Gnar', 'LeeSin', 'Syndra', 'Smolder', 'Rell']","['Aatrox', 'Nidalee', 'Diana', 'Jhin', 'Alistar']",1.0
NA1_5166431532,"['Jayce', 'Khazix', 'Syndra', 'KogMaw', 'TahmKench']","['Tryndamere', 'Graves', 'Orianna', 'Caitlyn', 'Thresh']",1.0
NA1_5166378579,"['Ambessa', 'Ivern', 'Smolder', 'Lux', 'Swain']","['Renekton', 'Graves', 'Cassiopeia', 'Brand', 'Nami']",0.0
NA1_5166337675,"['Aurora', 'LeeSin', 'Azir', 'Jhin', 'Pyke']","['Renekton', 'Rengar', 'AurelionSol', 'Singed', 'Alistar']",0.0
